"Disaster Number","Declaration Date","Disaster Name","Incident Begin Date","Incident End Date","Declaration Type","State Code","State Name","Incident Type","Closeout Date","Region"
293,"09-22-1970","HEAVY RAINS & FLOODING","09-22-1970","09-22-1970","Major Disaster","CO","Colorado","Flood","06-22-1972",8
292,"08-04-1970","HURRICANE CELIA","08-04-1970","08-04-1970","Major Disaster","TX","Texas","Hurricane","02-24-1976",6
291,"07-22-1970","HEAVY RAINS & FLOODING","07-22-1970","07-22-1970","Major Disaster","MN","Minnesota","Flood","05-15-1973",5
290,"07-22-1970","HEAVY RAINS & FLOODING","07-22-1970","07-22-1970","Major Disaster","NY","New York","Flood","05-26-1972",2
2002,"07-18-1970","GRASS;AMLAND & FOREST FIRE","07-18-1970","07-18-1970","Fire Suppression","WA","Washington","Fire","08-02-1972",10
289,"07-03-1970","HEAVY RAINS & FLOODING","07-03-1970","07-03-1970","Major Disaster","FL","Florida","Flood","03-03-1972",4
2001,"06-26-1970","ISLAND LAKE FIRE","06-26-1970","06-26-1970","Fire Suppression","AK","Alaska","Fire","06-25-1971",10
288,"06-05-1970","SEVERE STORMS & FLOODING","06-05-1970","06-05-1970","Major Disaster","KY","Kentucky","Flood","01-18-1973",4
287,"06-05-1970","SEVERE STORMS & FLOODING","06-05-1970","06-05-1970","Major Disaster","ND","North Dakota","Flood","05-16-1972",8
286,"05-13-1970","TORNADOES, WINDSTORMS & FLOODING","05-13-1970","05-13-1970","Major Disaster","TX","Texas","Tornado","06-18-1973",6
285,"04-09-1970","HEAVY RAINS, TORNADOES & FLOODING","04-09-1970","04-09-1970","Major Disaster","AL","Alabama","Severe Storm","01-05-1973",4
284,"02-27-1970","SEVERE STORMS, ICE JAMS & FLOODING","02-27-1970","02-27-1970","Major Disaster","ME","Maine","Flood","05-23-1974",1
283,"02-16-1970","SEVERE STORMS & FLOODING","02-16-1970","02-16-1970","Major Disaster","CA","California","Flood","06-16-1976",9
282,"02-02-1970","HEAVY SNOWMELT, RAINS & FLOODING","02-02-1970","02-02-1970","Major Disaster","KY","Kentucky","Flood","02-16-1973",4
281,"12-19-1969","HEAVY RAINS & LANDSLIDE","12-19-1969","12-19-1969","Major Disaster","AK","Alaska","Severe Storm","08-16-1971",10
280,"11-07-1969","HURRICANE CAMILLE","11-07-1969","11-07-1969","Major Disaster","AL","Alabama","Hurricane","06-26-1972",4
279,"09-24-1969","SEVERE STORMS & FLOODING","09-24-1969","09-24-1969","Major Disaster","WV","West Virginia","Flood","05-26-1972",3
278,"09-03-1969","SEVERE STORMS & FLOODING","09-03-1969","09-03-1969","Major Disaster","WV","West Virginia","Hurricane","05-26-1972",3
277,"08-30-1969","SEVERE STORMS & FLOODING","08-30-1969","08-30-1969","Major Disaster","VT","Vermont","Flood","05-26-1972",1
276,"08-30-1969","HEAVY RAINS & FLOODING","08-30-1969","08-30-1969","Major Disaster","IL","Illinois","Flood","03-25-1974",5
275,"08-26-1969","HEAVY RAINS & FLOODING","08-26-1969","08-26-1969","Major Disaster","NY","New York","Flood","04-25-1972",2
274,"08-23-1969","SEVERE STORMS & FLOODING","08-23-1969","08-23-1969","Major Disaster","VA","Virginia","Hurricane","09-16-1976",3
273,"08-19-1969","SEVERE STORMS & FLOODING","08-19-1969","08-19-1969","Major Disaster","PA","Pennsylvania","Flood","02-07-1972",3
272,"08-19-1969","HURRICANE CAMILLE","08-19-1969","08-19-1969","Major Disaster","LA","Louisiana","Hurricane","06-22-1972",6
271,"08-18-1969","HURRICANE CAMILLE","08-18-1969","08-18-1969","Major Disaster","MS","Mississippi","Hurricane","03-01-1975",4
270,"08-15-1969","FLOODING","08-15-1969","08-15-1969","Major Disaster","CA","California","Flood","05-23-1974",9
269,"08-14-1969","HEAVY RAINS & FLOODING","08-14-1969","08-14-1969","Major Disaster","IA","Iowa","Flood","08-01-1972",7
268,"08-05-1969","HEAVY RAINS & FLOODING","08-05-1969","08-05-1969","Major Disaster","MN","Minnesota","Flood","05-15-1973",5
267,"07-15-1969","TORNADOES, SEVERE STORMS & FLOODING","07-15-1969","07-15-1969","Major Disaster","KS","Kansas","Tornado","06-16-1971",7
266,"07-15-1969","TORNADOES, SEVERE STORMS & FLOODING","07-15-1969","07-15-1969","Major Disaster","OH","Ohio","Tornado","06-18-1973",5
265,"07-15-1969","SEVERE STORMS & FLOODING","07-15-1969","07-15-1969","Major Disaster","KY","Kentucky","Flood","10-22-1971",4
264,"07-11-1969","SEVERE STORMS & FLOODING","07-11-1969","07-11-1969","Major Disaster","WI","Wisconsin","Flood","03-14-1972",5
263,"07-11-1969","SEVERE STORMS & FLOODING","07-11-1969","07-11-1969","Major Disaster","TN","Tennessee","Flood","06-22-1972",4
262,"06-06-1969","FLOODING","06-06-1969","06-06-1969","Major Disaster","IL","Illinois","Flood","04-25-1972",5
261,"05-19-1969","SEVERE STORMS & FLOODING","05-19-1969","05-19-1969","Major Disaster","CO","Colorado","Flood","12-14-1971",8
260,"05-01-1969","FLOODING","05-01-1969","05-01-1969","Major Disaster","WI","Wisconsin","Flood","03-10-1972",5
259,"04-25-1969","FLOODING","04-25-1969","04-25-1969","Major Disaster","IA","Iowa","Flood","02-07-1972",7
258,"04-19-1969","FLOODING","04-19-1969","04-19-1969","Major Disaster","NV","Nevada","Flood","05-26-1972",9
257,"04-18-1969","FLOODING","04-18-1969","04-18-1969","Major Disaster","SD","South Dakota","Flood","03-10-1972",8
256,"04-18-1969","FLOODING","04-18-1969","04-18-1969","Major Disaster","ND","North Dakota","Flood","11-28-1972",8
255,"04-18-1969","FLOODING","04-18-1969","04-18-1969","Major Disaster","MN","Minnesota","Flood","04-15-1974",5
254,"02-15-1969","SEVERE STORMS & FLOODING","02-15-1969","02-15-1969","Major Disaster","AR","Arkansas","Flood","12-14-1971",6
253,"01-26-1969","SEVERE STORMS & FLOODING","01-26-1969","01-26-1969","Major Disaster","CA","California","Flood","04-19-1976",9
252,"11-07-1968","HURRICANE GLADYS","11-07-1968","11-07-1968","Major Disaster","FL","Florida","Hurricane","03-02-1971",4
251,"09-13-1968","HEAVY RAINS & FLOODING","09-13-1968","09-13-1968","Major Disaster","HI","Hawaii","Flood","09-27-1972",9
250,"09-09-1968","HEAVY RAINS & FLOODING","09-09-1968","09-09-1968","Major Disaster","MN","Minnesota","Flood","03-01-1971",5
249,"08-15-1968","HEAVY RAINS & FLOODING","08-15-1968","08-15-1968","Major Disaster","MN","Minnesota","Flood","10-04-1972",5
