"Disaster Number","Declaration Date","Disaster Name","Incident Begin Date","Incident End Date","Declaration Type","State Code","State Name","Incident Type","Closeout Date","Region"
4734,"08-31-2023","HURRICANE IDALIA","08-27-2023","09-04-2023","Major Disaster","FL","Florida","Hurricane",NA,4
4738,"09-07-2023","HURRICANE IDALIA","08-30-2023","08-30-2023","Major Disaster","GA","Georgia","Hurricane",NA,4
4744,"10-06-2023","SEVERE STORMS AND FLOODING","08-03-2023","08-05-2023","Major Disaster","VT","Vermont","Flood",NA,1
4745,"10-11-2023","FLOODING","06-01-2023","06-08-2023","Major Disaster","MT","Montana","Flood",NA,8
3404,"09-12-2018","TROPICAL STORM OLIVIA","09-09-2018","09-13-2018","Emergency","HI","Hawaii","Hurricane","10-11-2023",9
3399,"08-22-2018","HURRICANE LANE","08-22-2018","08-29-2018","Emergency","HI","Hawaii","Hurricane","10-11-2023",9
4120,"06-13-2013","SEVERE STORMS AND FLOODING","05-22-2013","05-26-2013","Major Disaster","VT","Vermont","Flood","10-12-2023",1
4724,"08-10-2023","WILDFIRES AND HIGH WINDS","08-08-2023","09-30-2023","Major Disaster","HI","Hawaii","Fire",NA,9
4288,"10-20-2016","SEVERE STORMS, FLOODING, AND MUDSLIDES","09-21-2016","09-22-2016","Major Disaster","WI","Wisconsin","Flood","10-16-2023",5
4746,"10-18-2023","TROPICAL STORM HILARY","08-19-2023","08-21-2023","Major Disaster","CA","California","Tropical Storm",NA,9
4728,"08-15-2023","SEVERE STORMS AND FLOODING","06-29-2023","07-02-2023","Major Disaster","IL","Illinois","Severe Storm",NA,5
4740,"09-14-2023","SEVERE STORMS AND FLOODING","07-09-2023","07-17-2023","Major Disaster","NH","New Hampshire","Flood",NA,1
4673,"09-29-2022","HURRICANE IAN","09-23-2022","11-04-2022","Major Disaster","FL","Florida","Hurricane",NA,4
1968,"04-18-2011","TSUNAMI WAVES","03-11-2011","03-11-2011","Major Disaster","CA","California","Tsunami","10-26-2023",9
3601,"10-08-2023","TROPICAL STORM BOLAVEN","10-08-2023","10-16-2023","Emergency","GU","Guam","Tropical Storm",NA,9
3602,"10-08-2023","TROPICAL STORM BOLAVEN","10-09-2023","10-16-2023","Emergency","MP","Northern Mariana Islands","Tropical Storm",NA,9
4730,"08-23-2023","FLOODING","05-12-2023","06-03-2023","Major Disaster","AK","Alaska","Flood",NA,10
4292,"12-02-2016","SEVERE STORMS AND FLOODING","10-20-2016","10-21-2016","Major Disaster","PA","Pennsylvania","Flood","10-31-2023",3
4731,"08-25-2023","SEVERE STORMS, FLOODING, AND TORNADOES","06-08-2023","06-23-2023","Major Disaster","CO","Colorado","Flood",NA,8
3485,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","NM","New Mexico","Biological","11-07-2023",6
3563,"08-21-2021","HURRICANE HENRI","08-20-2021","08-24-2021","Emergency","RI","Rhode Island","Hurricane","11-06-2023",1
4748,"11-14-2023","SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES","06-25-2023","06-26-2023","Major Disaster","AR","Arkansas","Severe Storm",NA,6
5155,"10-04-2016","BEULAH HILL FIRE","10-04-2016","10-07-2016","Fire Management","CO","Colorado","Fire","11-21-2023",8
1605,"08-29-2005","HURRICANE KATRINA","08-29-2005","09-26-2005","Major Disaster","AL","Alabama","Hurricane","11-21-2023",4
3412,"05-28-2019","TORNADOES AND FLOODING","05-09-2019","07-12-2019","Emergency","KS","Kansas","Severe Storm","11-27-2023",7
3548,"10-08-2020","HURRICANE DELTA","10-07-2020","10-11-2020","Emergency","MS","Mississippi","Hurricane","11-21-2023",4
5441,"06-12-2022","PIPELINE FIRE","06-12-2022","06-24-2022","Fire Management","AZ","Arizona","Fire",NA,9
5435,"04-19-2022","CROOKS FIRE","04-18-2022","05-02-2022","Fire Management","AZ","Arizona","Fire",NA,9
5434,"04-19-2022","TUNNEL 2 FIRE","04-19-2022","04-28-2022","Fire Management","AZ","Arizona","Fire",NA,9
5387,"05-27-2021","SPUR FIRE","05-27-2021","05-29-2021","Fire Management","AZ","Arizona","Fire",NA,9
5385,"04-08-2021","MARGO FIRE","04-08-2021","04-10-2021","Fire Management","AZ","Arizona","Fire",NA,9
4749,"11-20-2023","SEVERE STORMS AND FLOODING","09-17-2023","09-18-2023","Major Disaster","IL","Illinois","Flood",NA,5
3524,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","IA","Iowa","Biological","11-28-2023",7
4386,"08-20-2018","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","06-06-2018","07-02-2018","Major Disaster","IA","Iowa","Severe Storm","11-28-2023",7
5389,"06-06-2021","TELEGRAPH FIRE","06-06-2021","06-24-2021","Fire Management","AZ","Arizona","Fire","09-29-2023",9
5295,"10-24-2019","KINCADE FIRE","10-24-2019","11-07-2019","Fire Management","CA","California","Fire",NA,9
5294,"10-23-2019","KAHANA RIDGE FIRE","10-22-2019","10-24-2019","Fire Management","HI","Hawaii","Fire",NA,9
5293,"10-11-2019","SADDLERIDGE FIRE","10-10-2019","10-22-2019","Fire Management","CA","California","Fire",NA,9
5333,"08-19-2020","CARMEL FIRE","08-18-2020","08-29-2020","Fire Management","CA","California","Fire",NA,9
5332,"08-18-2020","JONES FIRE","08-18-2020","08-27-2020","Fire Management","CA","California","Fire",NA,9
5329,"08-17-2020","RIVER FIRE","08-16-2020","08-29-2020","Fire Management","CA","California","Fire",NA,9
4750,"11-21-2023","TROPICAL STORM HILARY","08-19-2023","08-21-2023","Major Disaster","CA","California","Hurricane",NA,9
5462,"04-09-2023","WACONDA-BEAVER LAKE FIRE COMPLEX","04-08-2023","04-11-2023","Fire Management","NE","Nebraska","Fire",NA,7
5460,"03-31-2023","GAP ROAD FIRE, OKLAHOMA FMAG","03-31-2023","04-06-2023","Fire Management","OK","Oklahoma","Fire",NA,6
5459,"03-31-2023","HEFNER FIRE, OKLAHOMA FMAG","03-31-2023","04-03-2023","Fire Management","OK","Oklahoma","Fire",NA,6
5458,"03-31-2023","SIMPSON FIRE, OKLAHOMA FMAG","03-31-2023","04-06-2023","Fire Management","OK","Oklahoma","Fire",NA,6
5440,"05-18-2022","MESQUITE HEAT FIRE","05-18-2022","05-29-2022","Fire Management","TX","Texas","Fire",NA,6
5421,"12-15-2021","COBB FIRE","12-15-2021","12-22-2021","Fire Management","OK","Oklahoma","Fire",NA,6
5288,"08-18-2019","COPPER BREAKS FIRE","08-16-2019","09-04-2019","Fire Management","TX","Texas","Fire",NA,6
5303,"11-26-2019","CAVE FIRE","11-25-2019","11-28-2019","Fire Management","CA","California","Fire",NA,9
5302,"11-01-2019","MARIA FIRE","11-01-2019","11-05-2019","Fire Management","CA","California","Fire",NA,9
5301,"10-31-2019","HILLSIDE FIRE","10-31-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5300,"10-31-2019","46 FIRE","10-31-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5299,"10-30-2019","HILL FIRE","10-30-2019","11-01-2019","Fire Management","CA","California","Fire",NA,9
5298,"10-30-2019","EASY FIRE","10-30-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5297,"10-28-2019","GETTY FIRE","10-28-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5296,"10-24-2019","TICK FIRE","10-24-2019","10-29-2019","Fire Management","CA","California","Fire",NA,9
5452,"09-05-2022","ROSS FORK FIRE","09-05-2022","09-16-2022","Fire Management","ID","Idaho","Fire",NA,10
5449,"08-19-2022","FOUR CORNERS FIRE","08-18-2022","08-18-2022","Fire Management","ID","Idaho","Fire",NA,10
3600,"09-27-2023","SEAWATER INTRUSION","09-20-2023",NA,"Emergency","LA","Louisiana","Other",NA,6
4216,"04-30-2015","SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","02-15-2015","02-22-2015","Major Disaster","KY","Kentucky","Snowstorm","11-21-2023",4
5430,"04-11-2022","BIG HOLE FIRE","04-11-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
3493,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","NE","Nebraska","Biological","12-14-2023",7
3582,"08-30-2022","WATER CRISIS","08-30-2022","11-28-2022","Emergency","MS","Mississippi","Other",NA,4
4747,"10-26-2023","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","07-14-2023","07-21-2023","Major Disaster","KS","Kansas","Severe Storm",NA,7
3510,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","NM","New Mexico","Biological","12-20-2023",6
5095,"08-09-2015","WILLOW FIRE","08-08-2015","08-12-2015","Fire Management","AZ","Arizona","Fire","12-21-2023",9
5086,"06-17-2015","KEARNY RIVER FIRE","06-17-2015","06-27-2015","Fire Management","AZ","Arizona","Fire","12-21-2023",9
5313,"06-20-2020","BUSH FIRE","06-20-2020",NA,"Fire Management","AZ","Arizona","Fire","12-22-2023",9
4752,"12-23-2023","FLOODING","05-01-2023","05-27-2023","Major Disaster","UT","Utah","Flood",NA,8
1967,"04-08-2011","TSUNAMI WAVES","03-11-2011","03-12-2011","Major Disaster","HI","Hawaii","Tsunami","12-27-2023",9
4237,"08-07-2015","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","05-08-2015","05-29-2015","Major Disaster","SD","South Dakota","Severe Storm","01-04-2024",8
5197,"08-17-2017","LOLO PEAK FIRE","08-17-2017","09-16-2017","Fire Management","MT","Montana","Fire","01-05-2024",8
4328,"08-08-2017","SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","01-07-2017","01-10-2017","Major Disaster","OR","Oregon","Severe Storm","01-05-2024",10
5448,"08-14-2022","JOY LAKE FIRE","08-14-2022","08-15-2022","Fire Management","NV","Nevada","Fire",NA,9
5402,"07-22-2021","TAMARACK FIRE","07-22-2021","07-29-2021","Fire Management","NV","Nevada","Fire",NA,9
5480,"08-19-2023","RIVER ROAD EAST FIRE","08-18-2023","09-05-2023","Fire Management","MT","Montana","Fire",NA,8
5423,"12-30-2021","MARSHALL FIRE","12-30-2021","01-07-2022","Fire Management","CO","Colorado","Fire",NA,8
5406,"08-10-2021","RICHARD SPRING FIRE","08-10-2021","08-13-2021","Fire Management","MT","Montana","Fire",NA,8
5399,"07-17-2021","BUFFALO WILDFIRE","07-16-2021","07-16-2021","Fire Management","MT","Montana","Fire",NA,8
5438,"04-30-2022","CALF CANYON FIRE","04-20-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5437,"04-28-2022","COOK'S PEAK FIRE","04-28-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5433,"04-12-2022","NOGAL CANYON FIRE","04-12-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5432,"04-12-2022","MCBRIDE FIRE","04-12-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5431,"04-12-2022","HERMIT'S PEAK FIRE","04-12-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5456,"10-17-2022","NAKIA CREEK FIRE","10-16-2022","10-22-2022","Fire Management","WA","Washington","Fire",NA,10
5455,"09-10-2022","BOLT CREEK FIRE","09-10-2022","10-24-2022","Fire Management","WA","Washington","Fire",NA,10
5447,"08-04-2022","LIND FIRE","08-04-2022","08-05-2022","Fire Management","WA","Washington","Fire",NA,10
5478,"08-09-2023","MAUNA KEA BEACH FIRE","08-08-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
5477,"08-09-2023","PULEHU FIRE","08-09-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
5476,"08-09-2023","UPCOUNTRY FIRE","08-09-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
5475,"08-09-2023","LAHAINA FIRE","08-09-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
4031,"09-13-2011","REMNANTS OF TROPICAL STORM LEE","09-07-2011","09-11-2011","Major Disaster","NY","New York","Severe Storm","01-05-2024",2
5390,"06-09-2021","JACKS VALLEY FIRE","06-09-2021","06-10-2021","Fire Management","NV","Nevada","Fire",NA,9
5436,"04-23-2022","ROAD 702 FIRE","04-22-2022","04-30-2022","Fire Management","NE","Nebraska","Fire",NA,7
5425,"03-05-2022","COTTONWOOD FIRE COMPLEX","03-05-2022","03-16-2022","Fire Management","KS","Kansas","Fire",NA,7
5454,"09-10-2022","MILO MCIVER FIRE","09-10-2022","09-12-2022","Fire Management","OR","Oregon","Fire",NA,10
5442,"06-26-2022","CLEAR FIRE","06-21-2022","08-12-2022","Fire Management","AK","Alaska","Fire",NA,10
5357,"09-08-2020","HOLIDAY FARM FIRE","09-08-2020","10-03-2020","Fire Management","OR","Oregon","Fire",NA,10
3522,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","LA","Louisiana","Biological","12-28-2023",6
4232,"07-29-2015","SEVERE STORM AND FLOODING","06-09-2015","06-09-2015","Major Disaster","VT","Vermont","Severe Storm","01-16-2024",1
4089,"11-03-2012","HURRICANE SANDY","10-26-2012","10-31-2012","Major Disaster","RI","Rhode Island","Hurricane","01-16-2024",1
1949,"11-24-2010","SEVERE STORMS, FLOODING, ROCKSLIDES, AND MUDSLIDES ASSOC. WITH TS TOMAS","11-08-2010","11-12-2010","Major Disaster","VI","Virgin Islands of the U.S.","Severe Storm","01-17-2024",2
1939,"09-28-2010","HURRICANE EARL","08-29-2010","08-31-2010","Major Disaster","VI","Virgin Islands of the U.S.","Hurricane","01-17-2024",2
1807,"10-29-2008","HURRICANE OMAR","10-14-2008","10-16-2008","Major Disaster","VI","Virgin Islands of the U.S.","Hurricane","01-17-2024",2
5249,"07-04-2018","LAKE CHRISTINE FIRE","07-04-2018","07-11-2018","Fire Management","CO","Colorado","Fire","01-18-2024",8
5248,"07-02-2018","DOLLAR RIDGE FIRE","07-02-2018","07-22-2018","Fire Management","UT","Utah","Fire","01-18-2024",8
5246,"06-28-2018","SPRING CREEK FIRE","06-28-2018","07-12-2018","Fire Management","CO","Colorado","Fire","01-18-2024",8
1895,"03-29-2010","SEVERE STORMS AND  FLOODING","03-12-2010","04-26-2010","Major Disaster","MA","Massachusetts","Severe Storm","01-24-2024",1
3603,"11-18-2023","ELEVATED LEVELS OF LEAD AND COPPER IN THE WATER SUPPLY","10-25-2023","01-23-2024","Emergency","VI","Virgin Islands of the U.S.","Other",NA,2
3604,"01-13-2024","SEVERE STORMS, FLOODING, AND A POTENTIAL DAM BREACH","01-10-2024","01-13-2024","Emergency","CT","Connecticut","Severe Storm",NA,1
3570,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","OK","Oklahoma","Biological","01-30-2024",6
4754,"01-30-2024","SEVERE STORM AND FLOODING","12-17-2023","12-21-2023","Major Disaster","ME","Maine","Severe Storm",NA,1
3530,"07-26-2020","HURRICANE HANNA","07-25-2020","07-31-2020","Emergency","TX","Texas","Hurricane","02-06-2024",6
5162,"11-12-2016","PINNACLE MOUNTAIN FIRE","11-12-2016","12-20-2016","Fire Management","SC","South Carolina","Fire",NA,4
4340,"09-20-2017","HURRICANE MARIA","09-16-2017","09-22-2017","Major Disaster","VI","Virgin Islands of the U.S.","Hurricane",NA,2
4335,"09-07-2017","HURRICANE IRMA","09-05-2017","09-07-2017","Major Disaster","VI","Virgin Islands of the U.S.","Hurricane",NA,2
1946,"10-26-2010","SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES ASSOC W TS OTTO","10-04-2010","10-08-2010","Major Disaster","PR","Puerto Rico","Severe Storm","02-14-2024",2
5446,"08-03-2022","MILLER ROAD FIRE","08-02-2022","08-07-2022","Fire Management","OR","Oregon","Fire",NA,10
5367,"09-09-2020","SOUTH OBENCHAIN FIRE","09-08-2020","10-14-2020","Fire Management","OR","Oregon","Fire",NA,10
4751,"12-13-2023","SEVERE STORMS AND TORNADOES","12-09-2023","12-09-2023","Major Disaster","TN","Tennessee","Severe Storm",NA,4
4756,"01-30-2024","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","08-28-2023","08-30-2023","Major Disaster","WV","West Virginia","Flood",NA,3
4757,"02-08-2024","SEVERE STORMS, TORNADOES, AND FLOODING","08-24-2023","08-26-2023","Major Disaster","MI","Michigan","Flood",NA,5
4755,"01-30-2024","SEVERE STORM AND FLOODING","09-28-2023","09-30-2023","Major Disaster","NY","New York","Flood",NA,2
4753,"01-07-2024","SEVERE STORMS, FLOODING, AND TORNADOES","09-10-2023","09-13-2023","Major Disaster","RI","Rhode Island","Severe Storm",NA,1
4021,"08-31-2011","HURRICANE IRENE","08-27-2011","09-05-2011","Major Disaster","NJ","New Jersey","Hurricane",NA,2
1830,"04-09-2009","SEVERE STORMS AND FLOODING","03-16-2009","05-22-2009","Major Disaster","MN","Minnesota","Severe Storm","08-03-2016",5
1805,"10-24-2008","SEVERE WIND STORM ASSOCIATED WITH TROPICAL DEPRESSION IKE","09-14-2008","09-14-2008","Major Disaster","OH","Ohio","Severe Storm","03-11-2015",5
1771,"06-24-2008","SEVERE STORMS AND FLOODING","06-01-2008","07-22-2008","Major Disaster","IL","Illinois","Severe Storm","04-10-2019",5
1768,"06-14-2008","SEVERE STORMS, TORNADOES, AND FLOODING","06-05-2008","07-25-2008","Major Disaster","WI","Wisconsin","Severe Storm","07-31-2017",5
1717,"08-23-2007","SEVERE STORMS AND FLOODING","08-18-2007","08-31-2007","Major Disaster","MN","Minnesota","Severe Storm","04-15-2015",5
1580,"02-15-2005","SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES","12-22-2004","02-01-2005","Major Disaster","OH","Ohio","Severe Storm","06-20-2013",5
1556,"09-19-2004","SEVERE STORMS AND FLOODING","08-27-2004","09-27-2004","Major Disaster","OH","Ohio","Severe Storm","05-25-2011",5
1453,"03-14-2003","SEVERE WINTER STORM AND RECORD/NEAR RECORD SNOW","02-14-2003","03-18-2003","Major Disaster","OH","Ohio","Severe Storm","01-20-2011",5
1419,"06-14-2002","SEVERE STORMS, FLOODING AND TORNADOES","06-09-2002","06-28-2002","Major Disaster","MN","Minnesota","Severe Storm","04-25-2012",5
1370,"05-16-2001","SEVERE WINTER STORMS, FLOODING, AND TORNADOES","03-23-2001","07-03-2001","Major Disaster","MN","Minnesota","Flood","11-06-2013",5
1369,"05-11-2001","FLOODING, SEVERE STORMS AND TORNADOES","04-10-2001","07-06-2001","Major Disaster","WI","Wisconsin","Flood","01-03-2011",5
4077,"08-20-2012","SEVERE STORMS AND STRAIGHT-LINE WINDS","06-29-2012","07-02-2012","Major Disaster","OH","Ohio","Severe Storm","01-24-2018",5
4002,"07-13-2011","SEVERE STORMS AND FLOODING","04-04-2011","05-15-2011","Major Disaster","OH","Ohio","Severe Storm","09-03-2019",5
1982,"05-10-2011","SEVERE STORMS AND FLOODING","03-16-2011","05-25-2011","Major Disaster","MN","Minnesota","Flood","09-04-2019",5
1960,"03-17-2011","SEVERE WINTER STORM AND SNOWSTORM","01-31-2011","02-03-2011","Major Disaster","IL","Illinois","Snowstorm","11-25-2022",5
1941,"10-13-2010","SEVERE STORMS AND FLOODING","09-22-2010","10-14-2010","Major Disaster","MN","Minnesota","Severe Storm","04-05-2021",5
1702,"05-22-2007","SEVERE STORMS, TORNADOES, AND FLOODING","05-04-2007","06-08-2007","Major Disaster","SD","South Dakota","Severe Storm","01-31-2013",8
1628,"02-03-2006","SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES","12-17-2005","01-03-2006","Major Disaster","CA","California","Severe Storm","08-24-2021",9
1597,"07-22-2005","SEVERE STORMS, FLOODING, AND GROUND SATURATION","06-01-2005","07-07-2005","Major Disaster","ND","North Dakota","Severe Storm","08-08-2012",8
1585,"04-14-2005","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUD AND DEBRIS FLOWS","02-16-2005","02-23-2005","Major Disaster","CA","California","Severe Storm","12-02-2015",9
1577,"02-04-2005","SEVERE STORMS, FLOODING, DEBRIS FLOWS, AND MUDSLIDES","12-27-2004","01-11-2005","Major Disaster","CA","California","Severe Storm","09-28-2018",9
1515,"05-05-2004","SEVERE STORMS, FLOODING, AND GROUND SATURATION","03-26-2004","06-14-2004","Major Disaster","ND","North Dakota","Severe Storm","07-19-2012",8
1498,"10-27-2003","WILDFIRES, FLOODING, MUDFLOW AND DEBRIS FLOW DIRECTLY RELATED T","10-21-2003","03-31-2004","Major Disaster","CA","California","Fire","09-30-2019",9
1446,"12-08-2002","SUPER TYPHOON PONGSONA","12-08-2002","12-16-2002","Major Disaster","GU","Guam","Typhoon","03-11-2013",9
1426,"07-06-2002","TYPHOON CHATA'AN","07-05-2002","07-06-2002","Major Disaster","GU","Guam","Typhoon","03-14-2012",9
1376,"05-28-2001","SEVERE STORMS, FLOODING, & GROUND SATURATION","03-01-2001","08-09-2001","Major Disaster","ND","North Dakota","Flood","04-04-2012",8
1375,"05-17-2001","SEVERE WINTER STORMS, FLOODING, AND ICE JAMS","03-01-2001","04-30-2001","Major Disaster","SD","South Dakota","Flood","05-26-2010",8
3161,"01-17-2001","ILLINOIS WINTER SNOW STORMS","12-11-2000","12-31-2000","Emergency","IL","Illinois","Snowstorm","01-13-2014",5
3160,"01-10-2001","SNOW","12-11-2000","12-31-2000","Emergency","MI","Michigan","Snowstorm","11-28-2007",5
1334,"06-27-2000","SEVERE STORMS, FLOODING AND GROUND SATURATION","04-05-2000","08-12-2000","Major Disaster","ND","North Dakota","Severe Storm","08-10-2010",8
1279,"06-08-1999","SEVERE STORMS, FLOODING, SNOW, ICE, GROUND SATURATION, LANSLIDES, MUDSLIDES, AND TOR","03-01-1999","07-19-1999","Major Disaster","ND","North Dakota","Flood","06-24-2010",8
3134,"01-08-1999","IL-WINTER STORM  1/1/99","01-01-1999","01-15-1999","Emergency","IL","Illinois","Snowstorm","03-12-2014",5
3587,"11-08-2022","TROPICAL STORM NICOLE","11-07-2022","11-30-2022","Emergency","FL","Florida","Tropical Storm","02-21-2023",4
3584,"09-24-2022","TROPICAL STORM IAN","09-23-2022","11-04-2022","Emergency","FL","Florida","Hurricane","02-22-2023",4
3583,"09-18-2022","TROPICAL STORM FIONA","09-17-2022","09-21-2022","Emergency","PR","Puerto Rico","Hurricane","10-20-2022",2
4392,"09-12-2018","SEVERE STORM AND TORNADOES","07-19-2018","07-19-2018","Major Disaster","IA","Iowa","Severe Storm","06-14-2023",7
4334,"08-27-2017","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","07-19-2017","07-23-2017","Major Disaster","IA","Iowa","Severe Storm","07-11-2023",7
4321,"06-26-2017","SEVERE WINTER STORM AND STRAIGHT-LINE WINDS","04-29-2017","05-03-2017","Major Disaster","NE","Nebraska","Severe Storm","04-13-2022",7
4298,"02-01-2017","SEVERE WINTER STORM","12-24-2016","12-26-2016","Major Disaster","SD","South Dakota","Severe Storm","08-26-2019",8
4289,"10-31-2016","SEVERE STORMS AND FLOODING","09-21-2016","10-03-2016","Major Disaster","IA","Iowa","Flood","06-07-2021",7
1996,"06-17-2011","SEVERE STORMS AND FLOODING","04-04-2011","07-22-2011","Major Disaster","MT","Montana","Severe Storm","08-31-2021",8
1984,"05-13-2011","FLOODING","03-11-2011","07-22-2011","Major Disaster","SD","South Dakota","Flood","05-18-2020",8
1981,"05-10-2011","FLOODING","02-14-2011","07-20-2011","Major Disaster","ND","North Dakota","Flood","05-28-2021",8
1915,"05-13-2010","FLOODING","03-10-2010","06-20-2010","Major Disaster","SD","South Dakota","Flood","02-10-2017",8
1907,"04-30-2010","FLOODING","02-26-2010","07-15-2010","Major Disaster","ND","North Dakota","Flood","07-31-2018",8
1829,"03-24-2009","SEVERE STORMS AND FLOODING","03-13-2009","08-10-2009","Major Disaster","ND","North Dakota","Severe Storm","05-02-2018",8
1731,"10-24-2007","WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS","10-21-2007","03-31-2008","Major Disaster","CA","California","Fire","01-31-2024",9
3565,"08-22-2021","HURRICANE HENRI","08-21-2021","08-24-2021","Emergency","NY","New York","Hurricane","02-07-2022",2
3276,"07-31-2007","DROUGHT","03-05-2007","11-02-2007","Emergency","FM","Federated States of Micronesia","Drought","08-22-2012",9
1511,"04-10-2004","TYPHOON SUDAL","04-08-2004","04-14-2004","Major Disaster","FM","Federated States of Micronesia","Typhoon","08-20-2015",9
1504,"12-19-2003","TYPHOON LUPIT","11-22-2003","11-26-2003","Major Disaster","FM","Federated States of Micronesia","Typhoon","04-29-2014",9
1449,"01-06-2003","TYPHOON PONGSONA","12-05-2002","12-07-2002","Major Disaster","FM","Federated States of Micronesia","Typhoon","09-27-2012",9
1427,"07-11-2002","TS CHATA'AN, INC FLOODING, MUDSLIDES AND LANDSLIDES","07-02-2002","07-04-2002","Major Disaster","FM","Federated States of Micronesia","Typhoon","08-20-2015",9
1417,"05-29-2002","TYPHOON MITAG","02-26-2002","03-03-2002","Major Disaster","FM","Federated States of Micronesia","Typhoon","06-24-2015",9
1213,"04-03-1998","SEVERE DROUGHT","01-25-1998","06-30-1998","Major Disaster","FM","Federated States of Micronesia","Drought","01-20-2010",9
1166,"03-11-1997","TYPHOON FERN","12-25-1996","12-26-1996","Major Disaster","FM","Federated States of Micronesia","Typhoon","04-29-2009",9
3093,"05-20-1992","DROUGHT","03-20-1992","03-20-1992","Emergency","FM","Federated States of Micronesia","Drought","09-30-1998",9
934,"02-07-1992","TYPHOON AXEL","01-08-1992","01-10-1992","Major Disaster","FM","Federated States of Micronesia","Typhoon","03-16-2000",9
926,"12-10-1991","TYPHOON YURI","11-25-1991","11-29-1991","Major Disaster","FM","Federated States of Micronesia","Typhoon","06-29-1999",9
892,"01-17-1991","TYPHOON RUSS","12-16-1990","12-17-1990","Major Disaster","FM","Federated States of Micronesia","Typhoon","04-12-1999",9
886,"12-14-1990","TYPHOON OWEN","11-26-1990","12-01-1990","Major Disaster","FM","Federated States of Micronesia","Typhoon","02-22-2000",9
803,"11-25-1987","TYPHOON NINA","11-21-1987","11-22-1987","Major Disaster","FM","Federated States of Micronesia","Typhoon","11-22-1995",9
786,"02-02-1987","TYPHOON ORCHID","01-10-1987","01-11-1987","Major Disaster","FM","Federated States of Micronesia","Typhoon","09-29-1995",9
765,"06-03-1986","TYPHOON LOLA","05-16-1986","05-16-1986","Major Disaster","FM","Federated States of Micronesia","Typhoon","09-29-1995",9
647,"09-29-1981","FIRE","09-29-1981","09-29-1981","Major Disaster","FM","Federated States of Micronesia","Fire","01-16-1987",9
611,"12-01-1979","SEAWAVE ACTION & FLOODING","12-01-1979","12-01-1979","Major Disaster","FM","Federated States of Micronesia","Flood","01-16-1987",9
572,"02-12-1979","TYPHOON ALICE","02-12-1979","02-12-1979","Major Disaster","FM","Federated States of Micronesia","Typhoon","01-16-1987",9
506,"06-08-1976","TYPHOON PAMELA","06-08-1976","06-08-1976","Major Disaster","FM","Federated States of Micronesia","Typhoon","10-24-1984",9
502,"04-22-1976","TYPHOON MARIE","04-22-1976","04-22-1976","Major Disaster","FM","Federated States of Micronesia","Typhoon","10-24-1984",9
307,"05-18-1971","TYPHOON AMY","05-18-1971","05-18-1971","Major Disaster","FM","Federated States of Micronesia","Typhoon","03-07-1977",9
235,"04-18-1968","TYPHOON JEAN","04-18-1968","04-18-1968","Major Disaster","FM","Federated States of Micronesia","Typhoon","03-01-1977",9
225,"03-21-1967","TYPHOON SALLY","03-21-1967","03-21-1967","Major Disaster","FM","Federated States of Micronesia","Typhoon","05-26-1972",9
181,"12-10-1964","TYPHOON LOUISE","12-10-1964","12-10-1964","Major Disaster","FM","Federated States of Micronesia","Typhoon","08-29-1967",9
